x,y,Name,Team,Age
-1.4254910701164547,-0.8130442616233242,P.J. AXELSSON,Boston Bruins,28.0
-3.769001926165649,2.2550776721180767,P.J. AXELSSON,Boston Bruins,30.0
-5.318375676128195,0.9294282977406346,P.J. AXELSSON,Boston Bruins,31.0
2.0137021973844984,7.262660375241517,P.J. AXELSSON,Boston Bruins,32.0
5.645673684176575,2.1081146055675153,P.J. AXELSSON,Boston Bruins,33.0
5.288974523678537,-4.863411258297093,ANDREAS JOHANSSON,Calgary Flames,26.0
1.7908598443830133,-1.8183580629637939,ANDREAS JOHANSSON,Tampa Bay Lightning,26.0
1.4746714111049175,2.6362069085016375,ANDREAS JOHANSSON,New York Rangers,28.0
-5.021929077892474,2.223300336174826,ANDREAS JOHANSSON,Nashville Predators,29.0
-1.2864889796467844,3.7963866899907277,ANDREAS JOHANSSON,Nashville Predators,30.0
0.7650910882477235,-1.2748060944515853,MARKUS NASLUND,Vancouver Canucks,26.0
-2.704898262670615,-5.061656183022896,MARKUS NASLUND,Vancouver Canucks,27.0
7.636873861292359,1.8282780769881566,MARKUS NASLUND,Vancouver Canucks,28.0
8.767300247534584,0.6452261115973723,MARKUS NASLUND,Vancouver Canucks,29.0
-10.172633475031423,-0.9727690760423879,MARKUS NASLUND,Vancouver Canucks,30.0
-10.661603999679201,-0.19600141874303134,MARKUS NASLUND,Vancouver Canucks,32.0
3.353460634001763,-4.99158237304626,MARKUS NASLUND,Vancouver Canucks,33.0
-6.425649176751009,-2.6310347621798287,MARKUS NASLUND,Vancouver Canucks,34.0
4.4437628090252534,-1.5818931506314202,MARKUS NASLUND,New York Rangers,35.0
-6.723637916901305,3.5617095433335755,DANIEL ALFREDSSON,Ottawa Senators,27.0
-2.9596779719832154,-4.932733073917968,DANIEL ALFREDSSON,Ottawa Senators,28.0
-1.0341109803006325,-5.024057567577768,DANIEL ALFREDSSON,Ottawa Senators,29.0
-10.28581021289096,-0.8416201888184802,DANIEL ALFREDSSON,Ottawa Senators,30.0
-9.648265342593112,-1.1594529564914247,DANIEL ALFREDSSON,Ottawa Senators,31.0
8.643709675248036,0.7917788333091188,DANIEL ALFREDSSON,Ottawa Senators,33.0
7.727789372159661,1.7210070147305903,DANIEL ALFREDSSON,Ottawa Senators,34.0
-4.003344420686703,-4.759489485887436,DANIEL ALFREDSSON,Ottawa Senators,35.0
-10.360016572495793,-0.5842293742910522,DANIEL ALFREDSSON,Ottawa Senators,36.0
-3.1663771409633474,-5.0535163005770105,DANIEL ALFREDSSON,Ottawa Senators,37.0
-5.66343803225895,0.7799001774447961,DANIEL ALFREDSSON,Ottawa Senators,38.0
-1.4268317182257808,5.8686166388918775,DANIEL ALFREDSSON,Ottawa Senators,39.0
-1.268176863251689,3.7729398616461975,DANIEL ALFREDSSON,Ottawa Senators,40.0
-4.411488376036506,-0.5831758318583519,DANIEL ALFREDSSON,Detroit Red Wings,41.0
-1.1512800306162674,3.7772045440347766,MAGNUS ARVEDSON,Ottawa Senators,28.0
-2.4930783678802992,1.7522407848322081,MAGNUS ARVEDSON,Ottawa Senators,29.0
1.8993804302346606,4.015223941443136,MAGNUS ARVEDSON,Ottawa Senators,30.0
3.981870386944642,1.1975063820837326,MAGNUS ARVEDSON,Ottawa Senators,31.0
1.1882480290391597,-4.950620514994244,MAGNUS ARVEDSON,Vancouver Canucks,32.0
0.6124817618196566,9.613557175700326,CHRISTIAN BERGLUND,New Jersey Devils,21.0
